year,month,day,temperature
2025,7,31,26
2025,8,1,23
2025,8,2,23
2025,8,3,27
2025,8,4,27
2025,8,5,24
2025,8,6,25
2025,8,7,21
2025,8,8,22
2025,8,9,26
2025,8,10,24
2025,8,11,23
2025,8,12,25
2025,8,13,20
2025,8,14,23
2025,8,15,22
2025,8,16,25
2025,8,17,20
2025,8,18,25
2025,8,19,19
2025,8,20,20
2025,8,21,22
2025,8,22,23
2025,8,23,20
2025,8,24,19
2025,8,25,24
2025,8,26,19
2025,8,27,21
2025,8,28,21
2025,8,29,20
2025,8,30,21
2025,8,31,20
2025,9,1,23
2025,9,2,18
2025,9,3,21
2025,9,4,17
2025,9,5,18
2025,9,6,20
2025,9,7,17
2025,9,8,17
2025,9,9,20
2025,9,10,15
2025,9,11,18
2025,9,12,21
2025,9,13,21
2025,9,14,14
2025,9,15,15
2025,9,16,15
2025,9,17,20
2025,9,18,19
2025,9,19,19
2025,9,20,15
2025,9,21,13
2025,9,22,18
2025,9,23,16
2025,9,24,16
2025,9,25,18
2025,9,26,15
2025,9,27,11
2025,9,28,16
2025,9,29,12
2025,9,30,14
2025,10,1,16
2025,10,2,10
2025,10,3,10
2025,10,4,9
2025,10,5,12
2025,10,6,10
2025,10,7,12
2025,10,8,13
2025,10,9,9
2025,10,10,12
2025,10,11,9
2025,10,12,10
2025,10,13,13
2025,10,14,12
2025,10,15,6
2025,10,16,8
2025,10,17,7
2025,10,18,5
2025,10,19,10
2025,10,20,9
2025,10,21,6
2025,10,22,9
2025,10,23,7
2025,10,24,6
2025,10,25,3
2025,10,26,3
2025,10,27,9
2025,10,28,8
2025,10,29,6
2025,10,30,7
2025,10,31,5
2025,11,1,2
2025,11,2,2
2025,11,3,3
2025,11,4,7
2025,11,5,6
2025,11,6,6
2025,11,7,6
2025,11,8,1
2025,11,9,1
2025,11,10,-1
2025,11,11,4
2025,11,12,4
2025,11,13,1
2025,11,14,2
2025,11,15,-1
2025,11,16,4
2025,11,17,3
2025,11,18,4
2025,11,19,2
2025,11,20,2
2025,11,21,-4
2025,11,22,1
2025,11,23,-2
2025,11,24,2
2025,11,25,1
2025,11,26,1
2025,11,27,0
2025,11,28,-4
2025,11,29,0
2025,11,30,-5
2025,12,1,0
2025,12,2,0
2025,12,3,-5
2025,12,4,-1
2025,12,5,-4
2025,12,6,-5
2025,12,7,-2
2025,12,8,-6
2025,12,9,-8
2025,12,10,-7
2025,12,11,-6
2025,12,12,-2
2025,12,13,-2
2025,12,14,-7
2025,12,15,-4
2025,12,16,-6
2025,12,17,-2
2025,12,18,-5
2025,12,19,-3
2025,12,20,-9
2025,12,21,-3
2025,12,22,-8
2025,12,23,-3
2025,12,24,-8
2025,12,25,-9
2025,12,26,-7
2025,12,27,-5
2025,12,28,-8
2025,12,29,-6
2025,12,30,-7
2025,12,31,-8
